Concept,,Type1,,Type2,,Type3,,Type4,,Type5,,Type6,,Type7,,Type8,,Type9,,Type10,,Type11,,Type12,
Level,Name,Segment level,Document level,Segment level,Document level,Segment level,Document level,Segment level,Document level,Segment level,Document level,Segment level,Document level,Segment level,Document level,Segment level,Document level,Segment level,Document level,Segment level,Document level,Segment level,Document level,Segment level,Document level
,DATA SUBJECT RIGHT.WITHDRAW CONSENT,0.81,0.573,0.735,0.359,0.767,0.521,0.755,0.437,0.739,0.526,0.785,0.545,0.628,0.483,0.756,0.48,0.635,0.497,0.757,0.434,0.71,0.575,0.748,0.602
,PD ORIGIN.DIRECT ACTIVE,0.663,0.417,0.632,0.577,0.659,0.392,0.667,0.524,0.73,0.545,0.735,0.529,0.584,0.448,0.693,0.443,0.571,0.431,0.68,0.467,0.553,0.528,0.577,0.519
,PD ORIGIN.DIRECT PASSIVE,0.656,0.519,0.72,0.536,0.72,0.474,0.71,0.505,0.748,0.5,0.75,0.536,0.538,0.55,0.701,0.587,0.567,0.544,0.727,0.545,0.548,0.389,0.552,0.543
,LAWFUL BASIS.CONTRACT,0.704,0.171,0.704,0.24,0.72,0.174,0.727,0.333,0.649,0.373,0.623,0.333,0.667,0,0.642,0.333,0.706,0,0.75,0.348,0.548,0.423,0.607,0.4
,LAWFUL BASIS.LEGITIMATE INTEREST,0.729,0.419,0.564,0.28,0.667,0.421,0.709,0.235,0.673,0.44,0.68,0.38,0.648,0.28,0.636,0.304,0.629,0.357,0.609,0.269,0.536,0.426,0.54,0.44
,LAWFUL BASIS.CONSENT,0.424,0.244,0.313,0.098,0.486,0.195,0.389,0.108,0.4,0.213,0.4,0.258,0.083,0,0.167,0.121,0.083,0.108,0.087,0.121,0.333,0.244,0.308,0.28
,LAWFUL BASIS.LEGAL OBLIGATION,0.532,0.338,0.667,0.308,0.545,0.435,0.623,0.318,0.568,0.379,0.587,0.375,0.511,0.343,0.571,0.083,0.478,0.333,0.638,0.125,0.411,0.212,0.408,0.211
,PD STORAGE DETAILS.TIME,0.754,0.807,0.723,0.582,0.779,0.591,0.723,0.522,0.711,0.718,0.722,0.667,0.725,0.667,0.833,0.651,0.688,0.667,0.812,0.651,0.694,0.575,0.713,0.537
,PD STORAGE DETAILS.LOCATION,0.513,0.063,0.72,0,0.56,0,0.444,0.182,0.316,0.203,0.282,0.143,0.235,0,0.667,0,0.235,0,0.727,0,0.313,0.1,0.471,0
,PD STORAGE DETAILS.DISPOSAL METHOD,0.545,0.3,0.458,0.433,0.545,0.233,0.545,0.299,0.567,0.5,0.596,0.414,0.432,0.056,0.485,0.158,0.452,0.054,0.5,0.154,0.468,0.5,0.444,0.345
,DATA SHARING.RECIPIENT,0.637,0.562,0.713,0.57,0.618,0.537,0.715,0.626,0.712,0.577,0.729,0.597,0.595,0.584,0.67,0.613,0.568,0.574,0.694,0.54,0.639,0.516,0.681,0.554
,DATA SHARING.CONDITION,0.712,0.563,0.797,0.595,0.771,0.579,0.794,0.657,0.762,0.675,0.778,0.705,0.664,0.629,0.733,0.641,0.664,0.599,0.741,0.551,0.73,0.646,0.701,0.667
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,Macro Averages for leve1 nodes,0.748,0.512,0.797,0.558,0.753,0.509,0.805,0.554,0.8,0.665,0.84,0.682,0.675,0.542,0.784,0.549,0.68,0.541,0.792,0.547,0.773,0.658,0.805,0.669
,Macro Averages for all nodes,0.702,0.453,0.717,0.454,0.702,0.426,0.716,0.448,0.713,0.543,0.73,0.549,0.605,0.434,0.708,0.446,0.606,0.446,0.717,0.423,0.666,0.527,0.682,0.529
